Contract,,Strike,Strike,Bal,,Expiry,Year,Month,Day,Date,poc,Previous,Settlement,Change
"OKLI  July,2020   Put   30/07/2020   1,480",,"1,480.00",1480,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,490",,"1,490.00",1490,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,500",,"1,500.00",1500,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.30,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,510",,"1,510.00",1510,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.50,0.30,0.00
"OKLI  July,2020   Put   30/07/2020   1,520",,"1,520.00",1520,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.90,0.50,0.00
"OKLI  July,2020   Put   30/07/2020   1,530",,"1,530.00",1530,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,1.40,1.00,0.00
"OKLI  July,2020   Put   30/07/2020   1,540",,"1,540.00",1540,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,2.30,1.80,0.00
"OKLI  July,2020   Put   30/07/2020   1,550",,"1,550.00",1550,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,3.70,3.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,560",,"1,560.00",1560,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,5.50,5.00,-0.50
"OKLI  July,2020   Put   30/07/2020   1,570",,"1,570.00",1570,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,8.00,7.70,-0.30
"OKLI  July,2020   Put   30/07/2020   1,580",,"1,580.00",1580,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,9.10,11.20,0.00
